
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1536
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9052
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       1552
  TCP    0.0.0.0:9000           0.0.0.0:0              LISTENING       3988
  TCP    0.0.0.0:9200           0.0.0.0:0              LISTENING       3988
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1212
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1044
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2320
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3464
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4744
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       1160
  TCP    127.0.0.1:15292        0.0.0.0:0              LISTENING       4176
  TCP    127.0.0.1:15393        0.0.0.0:0              LISTENING       4176
  TCP    127.0.0.1:16494        0.0.0.0:0              LISTENING       4176
  TCP    127.0.0.1:19337        0.0.0.0:0              LISTENING       23048
  TCP    127.0.0.1:19337        127.0.0.1:58816        ESTABLISHED     23048
  TCP    127.0.0.1:19338        0.0.0.0:0              LISTENING       23048
  TCP    127.0.0.1:27015        0.0.0.0:0              LISTENING       5108
  TCP    127.0.0.1:45623        0.0.0.0:0              LISTENING       23048
  TCP    127.0.0.1:49681        127.0.0.1:49682        ESTABLISHED     1916
  TCP    127.0.0.1:49682        127.0.0.1:49681        ESTABLISHED     1916
  TCP    127.0.0.1:49683        127.0.0.1:49684        ESTABLISHED     3324
  TCP    127.0.0.1:49684        127.0.0.1:49683        ESTABLISHED     3324
  TCP    127.0.0.1:49685        127.0.0.1:49686        ESTABLISHED     7668
  TCP    127.0.0.1:49686        127.0.0.1:49685        ESTABLISHED     7668
  TCP    127.0.0.1:49687        127.0.0.1:49688        ESTABLISHED     4896
  TCP    127.0.0.1:49688        127.0.0.1:49687        ESTABLISHED     4896
  TCP    127.0.0.1:58816        127.0.0.1:19337        ESTABLISHED     9360
  TCP    127.0.0.1:59331        0.0.0.0:0              LISTENING       23048
  TCP    172.22.144.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.151.240:139    0.0.0.0:0              LISTENING       4
